,counties,tot_pop_2016,youth_pop_2016,child_pov_prop_2016,tot_white_2016,prop_white_2016,tot_hispanic_2016,prop_hispanic_2016,tot_black_2016,prop_black_2016,tot_pacific_islander_2016,prop_pacific_islander_2016,tot_native_american_2016,prop_native_american_2016,tot_minority_2016,prop_minority_2016,total_violent_crime,murder,aggravated_assault,non_consensual_sex_offenses,robbery,total_pop,change_2010_19
1,Adams ,"502,720","145,848",0.124,"255,394",0.508025044,"204,138",0.406067373,"15,149",0.030133414,"4,213",0.008381067,"21,995",0.043752367,"247,326",0.491974956,"4,919",51,"2,593","1,304",971,503890,0.17
2,Alamosa ,"16,131","4,449",0.254,"7,583",0.470107247,"7,967",0.493918542,174,0.010813961,177,0.010977001,206,0.012741925,"8,548",0.529892753,57,NA,34,17,6,16094,0.05
3,Arapahoe ,"642,823","162,420",0.082,"399,085",0.620831784,"127,389",0.198171845,"65,738",0.102264247,"5,655",0.008797305,"41,470",0.064512393,"243,738",0.379168216,785,9,391,236,149,644088,0.15
4,Archuleta ,"12,601","2,445",0.203,"9,846",0.781397508,"2,426",0.192543449,62,0.004921832,208,0.016524085,137,0.010875327,"2,755",0.218602492,43,1,34,7,1,13314,0.16
5,Baca ,"3,580",783,0.289,"3,151",0.880223464,377,0.105304469,27,0.007592179,49,0.013603352,17,0.004709497,429,0.119776536,3,NA,3,NA,NA,3546,-0.05
6,Bent ,"5,959",971,0.31,"3,242",0.543995637,"1,894",0.317892264,434,0.07283269,88,0.014824635,64,0.010743413,"2,717",0.456004363,13,NA,7,3,3,5834,-0.14
7,Boulder ,"323,457","70,847",0.084,"252,245",0.779839484,"47,309",0.146259441,"3,518",0.010876438,"2,256",0.00697595,"16,544",0.051148746,"71,212",0.220160516,816,7,432,306,71,323367,0.26
8,Broomfield ,"67,204","16,845",0.043,"50,968",0.75840322,"7,989",0.118883251,836,0.012443009,496,0.007376942,"4,840",0.072026516,"16,236",0.24159678,145,1,56,81,7,68182,0.11
9,Chaffee ,"18,905","3,237",0.132,"16,347",0.864669135,"2,008",0.106212642,314,0.016599841,194,0.010283523,177,0.00936895,"2,558",0.135330865,14,NA,10,3,1,19661,0.14
10,Cheyenne ,"1,837",486,0.222,"1,622",0.882847033,207,0.112776266,9,0.004877518,15,0.007920523,16,0.008709853,215,0.117152967,2,NA,2,NA,NA,1856,0
11,Clear Creek ,"9,317","1,675",0.101,"8,397",0.901252549,484,0.051964152,71,0.007570033,81,0.008724911,86,0.009280884,920,0.098747451,33,NA,23,7,3,9614,0.07
12,Conejos ,"8,080","2,293",0.267,"3,236",0.400438119,"4,944",0.611912129,24,0.003022277,62,0.007705446,42,0.00519802,"4,844",0.599561881,5,NA,4,1,NA,8120,-0.01
13,Costilla ,"3,589",718,0.393,"1,036",0.288776818,"2,487",0.692822513,12,0.00334355,35,0.009615492,43,0.012039565,"2,553",0.711223182,NA,NA,NA,NA,NA,3772,0.1
14,Crowley ,"5,767",767,0.342,"3,113",0.539821398,"1,763",0.305788105,545,0.094539622,102,0.017629617,77,0.013372637,"2,654",0.460178602,8,NA,5,3,NA,5825,0.04
15,Custer ,"4,561",717,0.229,"4,232",0.927798728,233,0.051100636,51,0.011078711,40,0.008877439,30,0.00647665,329,0.072201272,9,NA,9,NA,NA,4854,0.19
16,Delta ,"30,007","6,515",0.199,"25,146",0.83801313,"4,682",0.156015596,193,0.006425501,273,0.009104542,258,0.008589329,"4,861",0.16198687,40,NA,11,28,1,30578,0.01
17,Denver ,"697,361","162,508",0.169,"345,291",0.495139003,"239,640",0.343638331,"70,341",0.100867499,"6,624",0.009498423,"29,511",0.042317767,"352,070",0.504860997,"5,359",57,"2,809","1,255","1,238",706615,0.21
18,Dolores ,"1,986",439,0.144,"1,824",0.918403827,90,0.045528701,10,0.005035247,62,0.03121853,14,0.007049345,162,0.081596173,7,NA,7,NA,NA,2039,0
19,Douglas ,"328,478","92,330",0.023,"276,617",0.842117615,"27,102",0.08250653,"4,911",0.014949525,"2,023",0.00615819,"15,654",0.04765552,"51,861",0.157882385,596,3,246,308,39,336149,0.23
20,Eagle ,"54,870","13,660",0.079,"35,196",0.641443594,"17,415",0.317383634,318,0.005801895,218,0.003971022,714,0.013011482,"19,674",0.358556406,111,NA,71,38,2,54905,0.06
21,El Paso ,"688,225","184,862",0.134,"489,665",0.711489397,"113,856",0.165433804,"44,367",0.064465705,"8,105",0.011777122,"28,586",0.041536038,"198,560",0.288510603,"3,397",38,"1,894",927,538,701363,0.16
22,Elbert ,"26,067","5,670",0.061,"24,250",0.930300763,"1,575",0.060432347,254,0.009749492,230,0.008813442,331,0.012711474,"1,817",0.069699237,26,NA,26,NA,NA,25733,0.16
23,Fremont ,"46,882","8,136",0.214,"37,621",0.802467685,"6,500",0.138652575,"1,939",0.041360224,836,0.017837336,456,0.009726974,"9,261",0.197532315,157,2,83,66,6,47590,0.02
24,Garfield ,"59,086","16,391",0.106,"39,834",0.674163931,"18,162",0.307382121,354,0.005992621,447,0.00757049,589,0.009974613,"19,252",0.325836069,198,NA,85,103,10,59145,0.07
25,Gilpin ,"5,860","1,139",0.064,"5,365",0.915472696,328,0.055935154,45,0.007757679,57,0.009730375,122,0.020786689,495,0.084527304,20,1,9,8,2,6008,0.15
26,Grand ,"14,955","3,011",0.108,"13,582",0.908173186,"1,245",0.083225008,82,0.005470411,88,0.005908392,190,0.012687396,"1,373",0.091826814,10,NA,7,3,NA,15363,0.06
27,Gunnison ,"16,357","3,559",0.101,"14,286",0.87336492,"1,510",0.092323776,80,0.004869475,107,0.006525035,163,0.009938253,"2,071",0.12663508,48,NA,27,21,NA,16891,0.14
28,Hinsdale ,779,172,0.158,760,0.975147625,26,0.03296534,6,0.007702182,10,0.01283697,7,0.008985879,19,0.024852375,1,NA,NA,1,NA,792,-0.03
29,Huerfano ,"6,481","1,122",0.322,"3,944",0.608582009,"2,525",0.389541737,33,0.005016201,71,0.010982873,44,0.006789076,"2,537",0.391417991,22,NA,19,1,2,6619,0.03
30,Jackson ,"1,343",261,0.259,"1,230",0.915807893,168,0.124966493,1,0.001087118,17,0.012509308,3,0.002233805,113,0.084192107,NA,NA,NA,NA,NA,1376,0
31,Jefferson ,"571,774","124,426",0.076,"450,974",0.788727714,"89,882",0.157197966,"6,861",0.011999969,"4,520",0.007905484,"19,221",0.033616971,"120,800",0.211272286,"1,890",8,"1,042",547,293,575722,0.09
32,Kiowa ,"1,378",297,0.191,"1,301",0.944412192,87,0.063156749,4,0.002735849,6,0.004354136,2,0.001451379,77,0.055587808,NA,NA,NA,NA,NA,1364,0.01
33,Kit Carson ,"7,778","1,875",0.187,"5,919",0.761041399,"1,699",0.218425045,226,0.029079455,60,0.007696066,59,0.007585498,"1,859",0.238958601,15,NA,10,5,NA,7162,-0.14
34,La Plata ,"56,059","12,040",0.107,"44,845",0.799969318,"7,454",0.132959204,356,0.006344209,"3,039",0.054211277,598,0.010659662,"11,214",0.200030682,101,2,68,22,9,55646,0.11
35,Lake ,"7,537","1,925",0.168,"4,206",0.558060236,"3,162",0.419543585,35,0.004694175,65,0.008563089,55,0.007297333,"3,331",0.441939764,12,NA,11,NA,1,7710,0.1
36,Larimer ,"340,227","76,130",0.085,"280,868",0.825530249,"39,620",0.116451457,"3,524",0.010357761,"2,509",0.007375752,"8,906",0.026175965,"59,359",0.174469751,891,6,579,244,62,344267,0.19
37,Las Animas ,"14,050","2,832",0.299,"7,507",0.534281139,"6,488",0.46180427,197,0.014052669,187,0.013328826,135,0.009589324,"6,543",0.465718861,35,NA,16,5,14,14209,-0.07
38,Lincoln ,"5,597","1,146",0.229,"4,351",0.777291406,796,0.142285153,316,0.05640879,57,0.010226907,65,0.011613364,"1,247",0.222708594,7,1,1,4,1,5526,0.04
39,Logan ,"22,253","4,583",0.173,"17,135",0.770009886,"3,909",0.175644632,921,0.041401159,214,0.009638251,190,0.008538175,"5,118",0.229990114,86,1,48,34,3,21864,-0.01
40,Mesa ,"150,614","36,097",0.159,"125,263",0.831679326,"22,578",0.149907777,"1,180",0.00783234,"1,392",0.009243497,"1,944",0.012907831,"25,351",0.168320674,709,4,432,231,42,151965,0.05
41,Mineral ,731,116,0.129,671,0.918153215,25,0.033898769,3,0.004103967,4,0.005471956,3,0.004103967,60,0.081846785,1,NA,1,NA,NA,754,0.08
42,Moffat ,"12,869","3,653",0.133,"10,508",0.816528868,"2,061",0.160160075,55,0.004290932,126,0.00980962,124,0.009635558,"2,361",0.183471132,39,NA,16,21,2,13108,-0.04
43,Montezuma ,"26,693","6,499",0.225,"20,086",0.752472184,"3,313",0.124127674,121,0.004542764,"3,173",0.118870116,254,0.009521223,"6,607",0.247527816,35,NA,23,8,4,26098,0.03
44,Montrose ,"41,734","10,122",0.172,"32,695",0.783410888,"9,129",0.218736522,205,0.004922126,321,0.007702832,419,0.010036421,"9,039",0.216589112,69,2,39,24,4,41786,0.04
45,Morgan ,"28,540","8,178",0.149,"17,046",0.597279257,"10,559",0.369971268,816,0.02859986,151,0.005305886,223,0.00782691,"11,494",0.402720743,80,2,33,43,2,28266,0.03
46,Otero ,"18,353","4,628",0.252,"10,075",0.548963112,"8,151",0.444142102,124,0.006780908,157,0.00855555,203,0.011084291,"8,278",0.451036888,50,NA,30,19,1,18367,-0.03
47,Ouray ,"4,777",862,0.098,"4,529",0.948086665,239,0.050079548,13,0.002775801,28,0.005961901,46,0.009658782,248,0.051913335,NA,NA,NA,NA,NA,4799,0.12
48,Park ,"16,969","3,075",0.108,"15,955",0.9402646,940,0.055390418,120,0.007056986,189,0.011129118,190,0.01120396,"1,014",0.0597354,13,1,9,1,2,17882,0.16
49,Phillips ,"4,313","1,089",0.154,"3,368",0.780999304,901,0.208947368,18,0.004145606,18,0.004219801,40,0.009274287,945,0.219000696,5,1,4,NA,NA,4294,-0.04
50,Pitkin ,"17,908","3,226",0.062,"15,701",0.876767367,"1,821",0.101702033,115,0.006446839,66,0.003705606,299,0.016721019,"2,207",0.123232633,14,NA,6,7,1,17972,0.04
51,Prowers ,"11,832","3,300",0.233,"7,160",0.605174104,"4,459",0.376872887,63,0.005337221,80,0.006743577,59,0.004999155,"4,672",0.394825896,13,NA,11,1,1,11992,-0.03
52,Pueblo ,"164,590","40,196",0.222,"84,992",0.516383802,"72,595",0.441063127,"3,035",0.018439456,"1,409",0.008559937,"1,844",0.011202746,"79,598",0.483616198,"1,314",11,782,294,227,165962,0.06
53,Rio Blanco ,"6,466","1,645",0.103,"5,671",0.87705846,744,0.115117538,69,0.01062326,67,0.010397464,64,0.009907207,795,0.12294154,7,NA,5,2,NA,6351,-0.05
54,Rio Grande ,"11,437","2,895",0.26,"6,063",0.530118038,"5,248",0.458832736,38,0.003359273,120,0.010478272,66,0.005805718,"5,374",0.469881962,15,NA,10,2,3,11282,-0.06
55,Routt ,"24,504","5,168",0.07,"22,540",0.919844107,"1,899",0.077499592,141,0.005745593,129,0.005279954,262,0.010687643,"1,964",0.080155893,32,NA,12,17,3,25187,0.09
56,Saguache ,"6,272","1,511",0.337,"3,390",0.540422513,"2,666",0.425071747,21,0.003413584,89,0.014169324,71,0.01134088,"2,882",0.459577487,5,NA,2,3,NA,6646,0.12
57,San Juan ,701,128,0.211,612,0.872767475,99,0.141640514,2,0.002310984,2,0.003495007,10,0.013980029,89,0.127232525,NA,NA,NA,NA,NA,712,0.04
58,San Miguel ,"8,111","1,709",0.088,"7,326",0.903249908,801,0.098804093,39,0.004820614,60,0.007426951,98,0.012111947,785,0.096750092,6,NA,4,2,NA,8036,0.11
59,Sedgwick ,"2,363",498,0.236,"1,962",0.830143885,326,0.137829031,10,0.004176894,13,0.005429539,23,0.009657215,401,0.169856115,2,NA,NA,NA,2,2312,-0.06
60,Summit ,"30,744","5,827",0.068,"24,675",0.802580666,"4,771",0.155170114,268,0.008710643,120,0.003912959,414,0.01348133,"6,069",0.197419334,87,NA,46,35,6,30828,0.11
61,Teller ,"23,707","4,550",0.125,"21,736",0.916867592,"1,427",0.060206268,177,0.007445902,271,0.011443456,291,0.012276543,"1,971",0.083132408,60,NA,41,15,4,24646,0.09
62,Washington ,"4,791","1,038",0.183,"4,160",0.868342726,437,0.091223127,39,0.00805886,17,0.003443957,23,0.004771446,631,0.131657274,13,NA,5,8,NA,4756,0.02
63,Weld ,"294,554","83,775",0.103,"194,600",0.660658351,"91,977",0.31225816,"3,089",0.010486464,"2,423",0.00822732,"4,944",0.016783374,"99,954",0.339341649,952,10,565,293,84,305088,0.28
64,Yuma ,"10,161","2,759",0.16,"7,831",0.77069875,"2,377",0.233961224,26,0.002532231,45,0.004392284,38,0.003771282,"2,330",0.22930125,3,NA,3,NA,NA,9990,-0.2
