,State_abb,youth_pov_prop_est,unemployment,prop_health_insurance,prop_educ_bach,elem_size,second_size,salary,prop_latino_youth_pov,prop_asian_youth_pov,prop_black_youth_pov,prop_american_indian_youth_pov,prop_white_youth_pov,prop_other_youth_pov,violent_crime_per_100K,homicide_per_100K,raped_revised_per_100K,robbery_per_100K,aggravated_assault_per_100K,property_crime_per_100K,burgulary_per_100K,larceny_per_100K,motor_vehicle_theft_per_100K,percent_latino_youth_pov,percent_black_youth_pov,cpi
1,AL,21.9,283232.2996,88.43946322,25.23602927,19.167,27.445,48868,0.4,0.11,0.41,NA,0.14,NA,522.4281659,8.594660234,41.0451435,86.82863191,385.9597302,2949.137662,641.4201086,2045.221451,262.4961027,40,41,1.02138662
2,AK,13.2,51768.26303,83.13492103,28.42038014,18.304,18.742,68138,0.11,NA,NA,0.29,0.09,0.12,856.7342448,8.380802016,145.1771188,128.6858632,574.4904608,3541.970245,563.271,2403.668088,575.0311577,11,NA,1.02138662
3,AZ,19.2,377005.4252,86.3881283,27.92413406,24.145,27.666,47403,0.27,0.08,0.28,0.45,0.11,0.19,505.7118326,5.986770089,51.38407882,105.5487428,342.7922409,2908.250904,535.14915,2103.18638,269.9153737,27,28,1.02138662
4,AR,21.7,119792.8709,87.66738455,22.68915388,20.398,25.399,48616,0.32,NA,0.36,NA,0.17,NA,565.9679314,8.291716575,71.26214245,66.533533,419.8805393,3144.158985,744.889189,2157.677813,241.5919829,32,36,1.02138662
5,CA,15.6,2191680.743,87.42045765,32.16763175,24.988,31.971,78711,0.24,0.1,0.29,0.26,0.09,0.13,453.299368,4.644746795,37.37117585,143.7206488,267.5627965,2505.277435,448.4312672,1629.516772,427.3293957,24,29,1.02138662
6,CO,11.2,181058.9755,89.14828087,39.3596591,22.802,29.125,46506,0.2,0.07,0.17,0.12,0.07,0.16,372.1752979,3.953060434,71.60025228,68.87584577,227.7461394,2707.169748,402.7491933,1913.672995,390.7475593,20,17,1.02138662
7,CT,13.5,184432.0851,92.86452356,40.38317021,19.608,21.985,72561,0.26,0.1,0.2,NA,0.06,0.13,229.1627027,2.937983368,23.78367489,78.70997347,123.731071,1780.865614,249.1969512,1326.793289,204.8753735,26,20,1.02138662
8,DE,16.3,43117.30366,92.51824617,31.62849843,20.25,25.762,60214,NA,0.04,0.28,NA,0.12,NA,457.3294967,5.328719289,36.67412687,113.0524367,302.2742138,2448.076332,413.7593801,1892.008802,142.3081504,NA,28,1.02138662
9,FL,18.2,995724.4202,83.64453047,28.46364766,NA,NA,49407,0.25,0.14,0.32,NA,0.12,0.2,408.0982372,5.038897236,37.8322502,88.6550349,276.5720549,2512.893761,423.4914247,1884.819295,204.5830415,25,32,1.02138662
10,GA,19.5,557739.2394,84.21457885,30.46227243,21.013,27.511,54602,0.32,0.09,0.31,NA,0.11,0.23,356.4563906,6.539867503,25.4104103,94.53517724,229.9709355,2858.440679,531.6691403,2076.739247,250.0322912,32,31,1.02138662
