"","State","weighted_mean_lakidshalfshare","weighted_mean_lakids1share","weight_mean_lawhite1share","weighted_mean_lablack1share","weighted_mean_laasian1share","weighted_mean_lanhopi1share","weighted_mean_laaian1share","weighted_mean_laomultir1share","weighted_mean_lahisp1share","weighted_mean_povertyrate","count","LocationType","Year","DataFormat","youth_poverty_rate_2010"
"1","Alabama",0.203853406095191,0.146435562676525,0.458655298952696,0.125655695248029,0.00430270774979367,0.000508544724698476,0.00430270774979367,0.0287209859288421,0.0314863716607256,19.2963550497349,1179,"State",2010,"Percent","0.28"
"2","Alaska",0.215347458854675,0.148167860049893,0.393116332789563,0.0109939437958194,0.0916879463089215,0.006565150294507,0.0916879463089215,0.0673733911859925,0.04165340539028,10.1880205172683,167,"State",2010,"Percent","0.13"
"3","Arizona",0.179533332608719,0.0868031110394088,0.25954429363774,0.0108399082605626,0.0297752052051025,0.00134043766180032,0.0297752052051025,0.0998906035714033,0.193804342461002,18.4447499279179,1526,"State",2010,"Percent","0.24"
"4","Arkansas",0.208476375385764,0.144124473477506,0.499423652510427,0.0682485954547865,0.00453392246098847,0.00145697533116604,0.00453392246098847,0.0421958245265682,0.049407205662534,19.5508562655054,686,"State",2010,"Percent","0.28"
"5","California",0.130626826215115,0.046052391871057,0.128622630595966,0.0090494947656183,0.0023770822574117,0.0018752724882581,0.0023770822574117,0.0997369422925848,0.172026024955741,16.4798189378867,8044,"State",2010,"Percent","0.22"
"6","Colorado",0.181755682315464,0.0903036820006296,0.301884000885021,0.0110458136061408,0.00378747430933864,0.000935524672977413,0.00378747430933864,0.0712139749275057,0.138078234404506,13.2112012337558,1249,"State",2010,"Percent","0.17"
"7","Connecticut",0.168280535109428,0.0981624501176,0.380225416671783,0.0168038068834708,0.00105476896525323,0.000256060041675499,0.00105476896525323,0.0415185560376231,0.0676241272481785,10.7833407431304,832,"State",2010,"Percent","0.13"
"8","Delaware",0.175762623103002,0.100879301467395,0.330966238416728,0.0690405750597122,0.00219202178554578,0.000333495545990918,0.00219202178554578,0.0413675437882356,0.0539859481823565,12.3129265625313,218,"State",2010,"Percent","0.18"
"9","District of Columbia",0.0576775435289666,0.00577053088566021,0.0077049982153206,0.0123142100526974,7.06014393950583e-05,0.0001155446751576,7.06014393950583e-05,0.0146716354545995,0.0174878555922141,19.3171324679296,179,"City",2010,"Percent","0.3"
"10","Florida",0.152576593420448,0.0775353581181059,0.286826582101072,0.040895430424369,0.0014637061486759,0.000463235303002608,0.0014637061486759,0.040627024319415,0.127988976084736,16.849250339471,4214,"State",2010,"Percent","0.23"
"11","Georgia",0.21581718726671,0.143193623728744,0.368290715734264,0.139951145483601,0.0017031003578334,0.000548603751440479,0.0017031003578334,0.0462600914363123,0.0657004914651034,18.8540031212926,1965,"State",2010,"Percent","0.25"
